gene,gene_type,sum,prop
catA1,chromosome,41,0.04183673469387755
cmlA1,chromosome,40,0.04081632653061224
dfrA14,chromosome,39,0.03979591836734694
IncFII(pCoo)_pCoo,plasmid,38,0.03877551020408163
dfrA1,chromosome,37,0.03775510204081633
blaEC-19,chromosome,36,0.036734693877551024
IncX3,plasmid,36,0.036734693877551024
IncX4,plasmid,36,0.036734693877551024
pESA2,plasmid,34,0.03469387755102041
ColpVC,plasmid,33,0.0336734693877551
aac(3)-IIa,chromosome,29,0.02959183673469388
blaCTX-M-55,chromosome,29,0.02959183673469388
IncHI2A,plasmid,29,0.02959183673469388
IncHI2,plasmid,28,0.02857142857142857
RepA_pKPC-CAV1321,plasmid,28,0.02857142857142857
IncHI1A,plasmid,27,0.027551020408163266
IncHI1B(R27)_R27,plasmid,26,0.026530612244897958
IncN,plasmid,26,0.026530612244897958
tet(M),chromosome,26,0.026530612244897958
IncA/C2,plasmid,25,0.025510204081632654
lnu(F),chromosome,24,0.024489795918367346
aadA12,chromosome,23,0.02346938775510204
aph(3')-Ia0,chromosome,22,0.022448979591836733
blaCTX-M-15,chromosome,22,0.022448979591836733
IncFIB(pKPHS1)_pKPHS1,plasmid,22,0.022448979591836733
catB3,chromosome,20,0.02040816326530612
blaOXA-1,chromosome,19,0.019387755102040816
IncFIB(pHCM2)_pHCM2,plasmid,19,0.019387755102040816
IncFII(pSE11)_pSE11,plasmid,19,0.019387755102040816
aadA22,chromosome,18,0.018367346938775512
dfrA5,chromosome,18,0.018367346938775512
IncR,plasmid,18,0.018367346938775512
blaCTX-M-1,chromosome,17,0.017346938775510204
blaTEM-150,chromosome,17,0.017346938775510204
blaTEM-1A,chromosome,17,0.017346938775510204
Col(BS512),plasmid,17,0.017346938775510204
sat2,chromosome,17,0.017346938775510204
sat2_gen,chromosome,17,0.017346938775510204
aac(6')-Ib-cr,chromosome,16,0.0163265306122449
catA2,chromosome,15,0.015306122448979591
aac(3)-Ib,chromosome,14,0.014285714285714285
aac(6')-Ib-cr5,chromosome,14,0.014285714285714285
blaTEM,chromosome,14,0.014285714285714285
IncFIB(K)_Kpn3,plasmid,14,0.014285714285714285
qacE,chromosome,14,0.014285714285714285
qnrB19,chromosome,14,0.014285714285714285
sul15,chromosome,14,0.014285714285714285
bleO,chromosome,13,0.013265306122448979
fosA7,chromosome,13,0.013265306122448979
IncHI1B(CIT)_pNDM-CIT,plasmid,12,0.012244897959183673
IncI_Gamma,plasmid,12,0.012244897959183673
sul10,chromosome,12,0.012244897959183673
aac(3)-IIe,chromosome,11,0.011224489795918367
blaTEM-104,chromosome,11,0.011224489795918367
IncFIB(pB171)_pB171,plasmid,11,0.011224489795918367
qnrS1,chromosome,11,0.011224489795918367
tet(C),chromosome,11,0.011224489795918367
aac(3)-II,chromosome,10,0.01020408163265306
aadA6,chromosome,10,0.01020408163265306
ant(2'')-Ia,chromosome,10,0.01020408163265306
ant(3'')-Ii-aac(6')-IId,chromosome,10,0.01020408163265306
aph(3')-IIa,chromosome,10,0.01020408163265306
ARR-3,chromosome,10,0.01020408163265306
blaCTX-M-14,chromosome,10,0.01020408163265306
dfrA10,chromosome,10,0.01020408163265306
IncFII(pCRY)_pCRY,plasmid,10,0.01020408163265306
aadA11,chromosome,9,0.009183673469387756
arr,chromosome,9,0.009183673469387756
blaTEM-1C,chromosome,9,0.009183673469387756
blaTEM-235,chromosome,9,0.009183673469387756
erm(B),chromosome,9,0.009183673469387756
erm(B)8,chromosome,9,0.009183673469387756
fosA7.5,chromosome,9,0.009183673469387756
aac(3)-IVa,chromosome,8,0.00816326530612245
aph(4)-Ia,chromosome,8,0.00816326530612245
blaSHV-12,chromosome,8,0.00816326530612245
ere(A),chromosome,8,0.00816326530612245
aac(3)-IIb,chromosome,7,0.007142857142857143
aac(6')-IIc,chromosome,7,0.007142857142857143
arr-269927220,chromosome,7,0.007142857142857143
arr-3,chromosome,7,0.007142857142857143
ble,chromosome,7,0.007142857142857143
ble_Tn5,chromosome,7,0.007142857142857143
Col(MGD2),plasmid,7,0.007142857142857143
Col(MP18),plasmid,7,0.007142857142857143
IncP1,plasmid,7,0.007142857142857143
qacG2,chromosome,7,0.007142857142857143
tet(D),chromosome,7,0.007142857142857143
aac(6')-Ib,chromosome,6,0.006122448979591836
aac(6')-Ib4,chromosome,6,0.006122448979591836
aadA17,chromosome,6,0.006122448979591836
blaCTX-M-27,chromosome,6,0.006122448979591836
blaTEM-105,chromosome,6,0.006122448979591836
ColE10,plasmid,6,0.006122448979591836
dfrA7,chromosome,6,0.006122448979591836
mph(E),chromosome,6,0.006122448979591836
msr(E),chromosome,6,0.006122448979591836
rmtE,chromosome,6,0.006122448979591836
rmtE1,chromosome,6,0.006122448979591836
aadA25,chromosome,5,0.00510204081632653
aph(6)-Ic,chromosome,5,0.00510204081632653
dfrA19,chromosome,5,0.00510204081632653
mcr-9,chromosome,5,0.00510204081632653
