gene,gene_type,cattle,dog,cat,horse,chicken,swine,turkey
Col3M,plasmid,1,1,NA,NA,NA,NA,NA
crpP,chromosome,1,NA,NA,NA,NA,1,NA
dfrA16,chromosome,1,1,NA,NA,NA,NA,NA
dfrA23,chromosome,1,NA,NA,NA,NA,NA,NA
dfrA8,chromosome,1,1,1,NA,NA,1,NA
erm(F),chromosome,1,NA,NA,NA,NA,NA,NA
fosA3,chromosome,1,NA,NA,NA,NA,NA,NA
mef(C),chromosome,1,NA,NA,NA,NA,1,NA
mph(G),chromosome,1,NA,NA,NA,NA,1,NA
oqxB12,chromosome,1,NA,NA,NA,NA,NA,NA
oqxB15,chromosome,1,NA,NA,NA,NA,NA,NA
penA-A_Burk,chromosome,1,NA,NA,NA,NA,NA,NA
rep7a_rep(pKH7),plasmid,1,NA,NA,NA,NA,NA,NA
rmtB,chromosome,1,NA,NA,NA,NA,NA,NA
rmtB1,chromosome,1,NA,NA,NA,NA,NA,NA
sul19,chromosome,1,NA,NA,NA,NA,NA,NA
tet(H),chromosome,1,NA,NA,NA,NA,NA,NA
aac(3)-Ib-aac(6')-Ib',chromosome,NA,NA,NA,1,NA,1,NA
aadA10,chromosome,NA,NA,NA,NA,NA,1,NA
aadA15,chromosome,NA,NA,NA,NA,NA,1,NA
blaCMY-107,chromosome,NA,1,NA,NA,NA,1,NA
blaCMY-130,chromosome,NA,1,NA,NA,NA,1,NA
blaCTX-M,chromosome,NA,NA,NA,1,NA,1,NA
blaCTX-M-101,chromosome,NA,NA,NA,NA,NA,1,NA
blaCTX-M-32,chromosome,NA,NA,NA,1,NA,1,NA
blaOXA-114g,chromosome,NA,NA,NA,NA,NA,1,NA
blaTEM-106,chromosome,NA,NA,1,1,NA,1,1
blaTEM-12,chromosome,NA,NA,NA,NA,1,1,NA
blaTEM-135,chromosome,NA,NA,1,1,NA,1,1
blaTEM-1D,chromosome,NA,NA,NA,NA,1,1,NA
blaTEM-32,chromosome,NA,NA,NA,NA,NA,1,NA
cml,chromosome,NA,NA,NA,NA,NA,1,NA
cmlA5,chromosome,NA,1,NA,NA,1,1,1
Col(Ye4449),plasmid,NA,NA,NA,NA,NA,1,NA
erm(42),chromosome,NA,NA,NA,NA,NA,1,NA
IncFII(pMET)_pMET1,plasmid,NA,NA,NA,NA,NA,1,NA
IncL/M(pMU407)_pMU407,plasmid,NA,NA,NA,NA,NA,1,NA
IncP6,plasmid,NA,NA,NA,NA,NA,1,NA
qnrB10,chromosome,NA,NA,NA,NA,NA,1,NA
qnrB2,chromosome,NA,NA,NA,NA,NA,1,NA
qnrS2,chromosome,NA,NA,NA,1,NA,1,NA
rep134_rep(pPI2),plasmid,NA,NA,1,1,NA,1,NA
aph(3')-IIb,chromosome,NA,1,NA,NA,1,NA,NA
blaOXA-60,chromosome,NA,NA,NA,NA,1,NA,NA
blaOXA-60b,chromosome,NA,NA,NA,NA,1,NA,NA
erm(37),chromosome,NA,NA,NA,NA,1,NA,NA
aac(3)-Ic,chromosome,NA,NA,NA,NA,NA,NA,1
blaCMY-50,chromosome,NA,NA,NA,NA,NA,NA,1
blaPAO,chromosome,NA,NA,NA,NA,NA,NA,1
blaPDC-113,chromosome,NA,NA,NA,NA,NA,NA,1
otr(A),chromosome,NA,NA,NA,NA,NA,NA,1
repUS43_CDS12738(DOp1),plasmid,NA,NA,NA,NA,NA,NA,1
smr,chromosome,NA,NA,NA,NA,NA,NA,1
sul28,chromosome,NA,NA,NA,NA,NA,NA,1
aac(6')-Ib-AKT,chromosome,NA,NA,NA,1,NA,NA,NA
aadA13,chromosome,NA,NA,NA,1,NA,NA,NA
blaA,chromosome,NA,NA,NA,1,NA,NA,NA
blaCTX-M-103,chromosome,NA,NA,NA,1,NA,NA,NA
blaCTX-M-138,chromosome,NA,NA,NA,1,NA,NA,NA
blaCTX-M-158,chromosome,NA,NA,NA,1,NA,NA,NA
blaCTX-M-65,chromosome,NA,NA,NA,1,NA,NA,NA
blaI,chromosome,NA,NA,NA,1,NA,NA,NA
blaPC1,chromosome,NA,NA,NA,1,NA,NA,NA
blaR1,chromosome,NA,NA,NA,1,NA,NA,NA
blaZ,chromosome,NA,NA,NA,1,NA,NA,NA
blaZ01,chromosome,NA,NA,NA,1,NA,NA,NA
blaZ8,chromosome,NA,NA,NA,1,NA,NA,NA
cmlA6,chromosome,NA,NA,NA,1,NA,NA,NA
dfrA34,chromosome,NA,NA,NA,1,NA,NA,NA
IncFII(pAMA1167-NDM-5)_pAMA1167-NDM-5,plasmid,NA,NA,1,1,NA,NA,NA
IncL/M,plasmid,NA,NA,NA,1,NA,NA,NA
oqxB9,chromosome,NA,NA,1,1,NA,NA,NA
rep217_rep(pLNU8),plasmid,NA,NA,NA,1,NA,NA,NA
rep219_rep(pLNU7),plasmid,NA,NA,NA,1,NA,NA,NA
rep7a_repD(pK214),plasmid,NA,NA,NA,1,NA,NA,NA
rep7b_rep(pVGA),plasmid,NA,NA,NA,1,NA,NA,NA
blaBIL-1,chromosome,NA,NA,1,NA,NA,NA,NA
blaOXA-364,chromosome,NA,NA,1,NA,NA,NA,NA
blaOXA-787,chromosome,NA,NA,1,NA,NA,NA,NA
blaTEM-33,chromosome,NA,NA,1,NA,NA,NA,NA
blaTEM-34,chromosome,NA,NA,1,NA,NA,NA,NA
dfrA15,chromosome,NA,NA,1,NA,NA,NA,NA
penI_Bp,chromosome,NA,NA,1,NA,NA,NA,NA
blaCMY-14,chromosome,NA,1,NA,NA,NA,NA,NA
blaCMY-42,chromosome,NA,1,NA,NA,NA,NA,NA
blaCTX-M-116,chromosome,NA,1,NA,NA,NA,NA,NA
blaOXA-10,chromosome,NA,1,NA,NA,NA,NA,NA
blaROB,chromosome,NA,1,NA,NA,NA,NA,NA
blaROB-2,chromosome,NA,1,NA,NA,NA,NA,NA
blaTEM-112,chromosome,NA,1,NA,NA,NA,NA,NA
blaTEM-76,chromosome,NA,1,NA,NA,NA,NA,NA
Col(KPHS6),plasmid,NA,1,NA,NA,NA,NA,NA
IncL/M(pOXA-48)_pOXA-48,plasmid,NA,1,NA,NA,NA,NA,NA
pSL483,plasmid,NA,1,NA,NA,NA,NA,NA
qnrVC4,chromosome,NA,1,NA,NA,NA,NA,NA
rep210_p020(pLGA251),plasmid,NA,1,NA,NA,NA,NA,NA
rph,chromosome,NA,1,NA,NA,NA,NA,NA
spw,chromosome,NA,1,NA,NA,NA,NA,NA
