gene,gene_identifier,card_id,gene_name_family_desc,gene_name_family,gene_type,resistance_class,resistance_drug,combo
aadA1,aadA1,aadA,ANT(3''),ANT(3''),chromosome,aminoglycoside,spectinomycin,aadA1 spectinomycin
aadA1,aadA1,aadA,ANT(3''),ANT(3''),chromosome,aminoglycoside,streptomycin,aadA1 streptomycin
aadA1,aadA1,aadA,ANT(3''),ANT(3''),chromosome,aminoglycoside,streptomycin,aadA1 streptomycin
aadA1,aadA1,aadA,ANT(3''),ANT(3''),chromosome,aminoglycoside,streptomycin,aadA1 streptomycin
aadA1,aadA1,aadA,ANT(3''),ANT(3''),chromosome,aminoglycoside,streptomycin,aadA1 streptomycin
aadA1,aadA1,aadA,ANT(3''),ANT(3''),chromosome,aminoglycoside,streptomycin,aadA1 streptomycin
aadA1,aadA1,aadA,ANT(3''),ANT(3''),chromosome,aminoglycoside,spectinomycin,aadA1 spectinomycin
aadA1,aadA1,aadA,ANT(3''),ANT(3''),chromosome,aminoglycoside,spectinomycin,aadA1 spectinomycin
aadA1,aadA1,aadA,ANT(3''),ANT(3''),chromosome,aminoglycoside,spectinomycin,aadA1 spectinomycin
aadA1,aadA1,aadA,ANT(3''),ANT(3''),chromosome,aminoglycoside,spectinomycin,aadA1 spectinomycin
aadA1,aadA1,aadA,ANT(3''),ANT(3''),chromosome,aminoglycoside,spectinomycin,aadA1 spectinomycin
aadA1,aadA1,aadA,ANT(3''),ANT(3''),chromosome,aminoglycoside,streptomycin,aadA1 streptomycin
aadA1,aadA1,aadA,ANT(3''),ANT(3''),chromosome,aminoglycoside,streptomycin,aadA1 streptomycin
aadA1,aadA1,aadA,ANT(3''),ANT(3''),chromosome,aminoglycoside,streptomycin,aadA1 streptomycin
aadA1,aadA1,aadA,ANT(3''),ANT(3''),chromosome,aminoglycoside,streptomycin,aadA1 streptomycin
aadA1,aadA1,aadA,ANT(3''),ANT(3''),chromosome,aminoglycoside,streptomycin,aadA1 streptomycin
aadA1,aadA1,aadA,ANT(3''),ANT(3''),chromosome,aminoglycoside,spectinomycin,aadA1 spectinomycin
aadA1,aadA1,aadA,ANT(3''),ANT(3''),chromosome,aminoglycoside,spectinomycin,aadA1 spectinomycin
aadA1,aadA1,aadA,ANT(3''),ANT(3''),chromosome,aminoglycoside,spectinomycin,aadA1 spectinomycin
aadA1,aadA1,aadA,ANT(3''),ANT(3''),chromosome,aminoglycoside,spectinomycin,aadA1 spectinomycin
aadA1,aadA1,aadA,ANT(3''),ANT(3''),chromosome,aminoglycoside,spectinomycin,aadA1 spectinomycin
aadA1,aadA1,aadA,ANT(3''),ANT(3''),chromosome,aminoglycoside,streptomycin,aadA1 streptomycin
aadA1,aadA1,aadA,ANT(3''),ANT(3''),chromosome,aminoglycoside,streptomycin,aadA1 streptomycin
aadA1,aadA1,aadA,ANT(3''),ANT(3''),chromosome,aminoglycoside,streptomycin,aadA1 streptomycin
aadA1,aadA1,aadA,ANT(3''),ANT(3''),chromosome,aminoglycoside,streptomycin,aadA1 streptomycin
aadA1,aadA1,aadA,ANT(3''),ANT(3''),chromosome,aminoglycoside,streptomycin,aadA1 streptomycin
aadA1,aadA1,aadA,ANT(3''),ANT(3''),chromosome,aminoglycoside,spectinomycin,aadA1 spectinomycin
aadA1,aadA1,aadA,ANT(3''),ANT(3''),chromosome,aminoglycoside,spectinomycin,aadA1 spectinomycin
aadA1,aadA1,aadA,ANT(3''),ANT(3''),chromosome,aminoglycoside,spectinomycin,aadA1 spectinomycin
aadA1,aadA1,aadA,ANT(3''),ANT(3''),chromosome,aminoglycoside,spectinomycin,aadA1 spectinomycin
aadA1,aadA1,aadA,ANT(3''),ANT(3''),chromosome,aminoglycoside,spectinomycin,aadA1 spectinomycin
aadA1,aadA1,aadA,ANT(3''),ANT(3''),chromosome,aminoglycoside,streptomycin,aadA1 streptomycin
aadA1,aadA1,aadA,ANT(3''),ANT(3''),chromosome,aminoglycoside,streptomycin,aadA1 streptomycin
aadA1,aadA1,aadA,ANT(3''),ANT(3''),chromosome,aminoglycoside,streptomycin,aadA1 streptomycin
aadA1,aadA1,aadA,ANT(3''),ANT(3''),chromosome,aminoglycoside,streptomycin,aadA1 streptomycin
aadA1,aadA1,aadA,ANT(3''),ANT(3''),chromosome,aminoglycoside,streptomycin,aadA1 streptomycin
aadA10,aadA10,aadA10,ANT(3''),ANT(3''),chromosome,aminoglycoside,spectinomycin,aadA10 spectinomycin
aadA10,aadA10,aadA10,ANT(3''),ANT(3''),chromosome,aminoglycoside,spectinomycin,aadA10 spectinomycin
aadA10,aadA10,aadA10,ANT(3''),ANT(3''),chromosome,aminoglycoside,spectinomycin,aadA10 spectinomycin
aadA10,aadA10,aadA10,ANT(3''),ANT(3''),chromosome,aminoglycoside,spectinomycin,aadA10 spectinomycin
aadA10,aadA10,aadA10,ANT(3''),ANT(3''),chromosome,aminoglycoside,spectinomycin,aadA10 spectinomycin
aadA10,aadA10,aadA10,ANT(3''),ANT(3''),chromosome,aminoglycoside,streptomycin,aadA10 streptomycin
aadA10,aadA10,aadA10,ANT(3''),ANT(3''),chromosome,aminoglycoside,streptomycin,aadA10 streptomycin
aadA10,aadA10,aadA10,ANT(3''),ANT(3''),chromosome,aminoglycoside,streptomycin,aadA10 streptomycin
aadA10,aadA10,aadA10,ANT(3''),ANT(3''),chromosome,aminoglycoside,streptomycin,aadA10 streptomycin
aadA10,aadA10,aadA10,ANT(3''),ANT(3''),chromosome,aminoglycoside,streptomycin,aadA10 streptomycin
aadA11,aadA11,aadA11,ANT(3''),ANT(3''),chromosome,aminoglycoside,spectinomycin,aadA11 spectinomycin
aadA11,aadA11,aadA11,ANT(3''),ANT(3''),chromosome,aminoglycoside,spectinomycin,aadA11 spectinomycin
aadA11,aadA11,aadA11,ANT(3''),ANT(3''),chromosome,aminoglycoside,spectinomycin,aadA11 spectinomycin
aadA11,aadA11,aadA11,ANT(3''),ANT(3''),chromosome,aminoglycoside,spectinomycin,aadA11 spectinomycin
aadA11,aadA11,aadA11,ANT(3''),ANT(3''),chromosome,aminoglycoside,spectinomycin,aadA11 spectinomycin
aadA11,aadA11,aadA11,ANT(3''),ANT(3''),chromosome,aminoglycoside,streptomycin,aadA11 streptomycin
aadA11,aadA11,aadA11,ANT(3''),ANT(3''),chromosome,aminoglycoside,streptomycin,aadA11 streptomycin
aadA11,aadA11,aadA11,ANT(3''),ANT(3''),chromosome,aminoglycoside,streptomycin,aadA11 streptomycin
aadA11,aadA11,aadA11,ANT(3''),ANT(3''),chromosome,aminoglycoside,streptomycin,aadA11 streptomycin
aadA11,aadA11,aadA11,ANT(3''),ANT(3''),chromosome,aminoglycoside,streptomycin,aadA11 streptomycin
aadA12,aadA12,aadA12,ANT(3''),ANT(3''),chromosome,aminoglycoside,spectinomycin,aadA12 spectinomycin
aadA12,aadA12,aadA12,ANT(3''),ANT(3''),chromosome,aminoglycoside,spectinomycin,aadA12 spectinomycin
aadA12,aadA12,aadA12,ANT(3''),ANT(3''),chromosome,aminoglycoside,spectinomycin,aadA12 spectinomycin
aadA12,aadA12,aadA12,ANT(3''),ANT(3''),chromosome,aminoglycoside,spectinomycin,aadA12 spectinomycin
aadA12,aadA12,aadA12,ANT(3''),ANT(3''),chromosome,aminoglycoside,spectinomycin,aadA12 spectinomycin
aadA12,aadA12,aadA12,ANT(3''),ANT(3''),chromosome,aminoglycoside,streptomycin,aadA12 streptomycin
aadA12,aadA12,aadA12,ANT(3''),ANT(3''),chromosome,aminoglycoside,streptomycin,aadA12 streptomycin
aadA12,aadA12,aadA12,ANT(3''),ANT(3''),chromosome,aminoglycoside,streptomycin,aadA12 streptomycin
aadA12,aadA12,aadA12,ANT(3''),ANT(3''),chromosome,aminoglycoside,streptomycin,aadA12 streptomycin
aadA12,aadA12,aadA12,ANT(3''),ANT(3''),chromosome,aminoglycoside,streptomycin,aadA12 streptomycin
aadA12,aadA12,aadA12,ANT(3''),ANT(3''),chromosome,aminoglycoside,spectinomycin,aadA12 spectinomycin
aadA12,aadA12,aadA12,ANT(3''),ANT(3''),chromosome,aminoglycoside,spectinomycin,aadA12 spectinomycin
aadA12,aadA12,aadA12,ANT(3''),ANT(3''),chromosome,aminoglycoside,spectinomycin,aadA12 spectinomycin
aadA12,aadA12,aadA12,ANT(3''),ANT(3''),chromosome,aminoglycoside,spectinomycin,aadA12 spectinomycin
aadA12,aadA12,aadA12,ANT(3''),ANT(3''),chromosome,aminoglycoside,spectinomycin,aadA12 spectinomycin
aadA12,aadA12,aadA12,ANT(3''),ANT(3''),chromosome,aminoglycoside,streptomycin,aadA12 streptomycin
aadA12,aadA12,aadA12,ANT(3''),ANT(3''),chromosome,aminoglycoside,streptomycin,aadA12 streptomycin
aadA12,aadA12,aadA12,ANT(3''),ANT(3''),chromosome,aminoglycoside,streptomycin,aadA12 streptomycin
