mic_id,breakpoint,model,host_animal_common,.metric,.estimator,.estimate
enrofloxacin,ecoff,Base,swine,npv,binary,0.5384615384615384
enrofloxacin,ecoff,Base,swine,accuracy,binary,0.5384615384615384
enrofloxacin,ecoff,Base,swine,f_meas,binary,NA
gentamicin,ecoff,Base,cat,spec,binary,1
gentamicin,ecoff,Base,cat,sens,binary,1
gentamicin,ecoff,Base,cat,ppv,binary,1
gentamicin,ecoff,Base,cat,npv,binary,1
gentamicin,ecoff,Base,cat,accuracy,binary,1
gentamicin,ecoff,Base,cat,f_meas,binary,1
gentamicin,ecoff,Base,cattle,spec,binary,1
gentamicin,ecoff,Base,cattle,sens,binary,0.9333333333333333
gentamicin,ecoff,Base,cattle,ppv,binary,1
gentamicin,ecoff,Base,cattle,npv,binary,0.7777777777777777
gentamicin,ecoff,Base,cattle,accuracy,binary,0.9459459459459459
gentamicin,ecoff,Base,cattle,f_meas,binary,0.9655172413793104
gentamicin,ecoff,Base,chicken,spec,binary,1
gentamicin,ecoff,Base,chicken,sens,binary,0.9473684210526315
gentamicin,ecoff,Base,chicken,ppv,binary,1
gentamicin,ecoff,Base,chicken,npv,binary,0.7999999999999999
gentamicin,ecoff,Base,chicken,accuracy,binary,0.9565217391304348
gentamicin,ecoff,Base,chicken,f_meas,binary,0.972972972972973
gentamicin,ecoff,Base,swine,spec,binary,0.8888888888888888
gentamicin,ecoff,Base,swine,sens,binary,0.9230769230769231
gentamicin,ecoff,Base,swine,ppv,binary,0.923076923076923
gentamicin,ecoff,Base,swine,npv,binary,0.888888888888889
gentamicin,ecoff,Base,swine,accuracy,binary,0.9090909090909091
gentamicin,ecoff,Base,swine,f_meas,binary,0.9230769230769231
gentamicin,ecoff,Base,turkey,spec,binary,1
gentamicin,ecoff,Base,turkey,sens,binary,1
gentamicin,ecoff,Base,turkey,ppv,binary,1
gentamicin,ecoff,Base,turkey,npv,binary,1
gentamicin,ecoff,Base,turkey,accuracy,binary,1
gentamicin,ecoff,Base,turkey,f_meas,binary,1
tetracycline,ecoff,Base,cat,spec,binary,1
tetracycline,ecoff,Base,cat,sens,binary,1
tetracycline,ecoff,Base,cat,ppv,binary,1
tetracycline,ecoff,Base,cat,npv,binary,1
tetracycline,ecoff,Base,cat,accuracy,binary,1
tetracycline,ecoff,Base,cat,f_meas,binary,1
tetracycline,ecoff,Base,cattle,spec,binary,1
tetracycline,ecoff,Base,cattle,sens,binary,0.8
tetracycline,ecoff,Base,cattle,ppv,binary,1
tetracycline,ecoff,Base,cattle,npv,binary,0.8571428571428572
tetracycline,ecoff,Base,cattle,accuracy,binary,0.9090909090909091
tetracycline,ecoff,Base,cattle,f_meas,binary,0.888888888888889
tetracycline,ecoff,Base,chicken,spec,binary,0.9
tetracycline,ecoff,Base,chicken,sens,binary,0.95
tetracycline,ecoff,Base,chicken,ppv,binary,0.95
tetracycline,ecoff,Base,chicken,npv,binary,0.8999999999999999
tetracycline,ecoff,Base,chicken,accuracy,binary,0.9333333333333333
tetracycline,ecoff,Base,chicken,f_meas,binary,0.9500000000000001
tetracycline,ecoff,Base,dog,spec,binary,0.8571428571428571
tetracycline,ecoff,Base,dog,sens,binary,0.967741935483871
tetracycline,ecoff,Base,dog,ppv,binary,0.967741935483871
tetracycline,ecoff,Base,dog,npv,binary,0.8571428571428573
tetracycline,ecoff,Base,dog,accuracy,binary,0.9473684210526315
tetracycline,ecoff,Base,dog,f_meas,binary,0.967741935483871
tetracycline,ecoff,Base,horse,spec,binary,0.9285714285714286
tetracycline,ecoff,Base,horse,sens,binary,1
tetracycline,ecoff,Base,horse,ppv,binary,0.9375000000000001
tetracycline,ecoff,Base,horse,npv,binary,1
tetracycline,ecoff,Base,horse,accuracy,binary,0.9655172413793104
tetracycline,ecoff,Base,horse,f_meas,binary,0.967741935483871
tetracycline,ecoff,Base,swine,spec,binary,1
tetracycline,ecoff,Base,swine,sens,binary,0.3333333333333333
tetracycline,ecoff,Base,swine,ppv,binary,1
tetracycline,ecoff,Base,swine,npv,binary,0.75
tetracycline,ecoff,Base,swine,accuracy,binary,0.7777777777777778
tetracycline,ecoff,Base,swine,f_meas,binary,0.5
trimethoprim_sulfamethoxazole,ecoff,Base,cat,spec,binary,0
trimethoprim_sulfamethoxazole,ecoff,Base,cat,sens,binary,1
trimethoprim_sulfamethoxazole,ecoff,Base,cat,ppv,binary,0.9655172413793104
trimethoprim_sulfamethoxazole,ecoff,Base,cat,npv,binary,NA
trimethoprim_sulfamethoxazole,ecoff,Base,cat,accuracy,binary,0.9655172413793104
trimethoprim_sulfamethoxazole,ecoff,Base,cat,f_meas,binary,0.9824561403508771
trimethoprim_sulfamethoxazole,ecoff,Base,cattle,spec,binary,1
trimethoprim_sulfamethoxazole,ecoff,Base,cattle,sens,binary,NA
trimethoprim_sulfamethoxazole,ecoff,Base,cattle,ppv,binary,NA
trimethoprim_sulfamethoxazole,ecoff,Base,cattle,npv,binary,NA
trimethoprim_sulfamethoxazole,ecoff,Base,cattle,accuracy,binary,1
trimethoprim_sulfamethoxazole,ecoff,Base,cattle,f_meas,binary,NA
trimethoprim_sulfamethoxazole,ecoff,Base,chicken,spec,binary,1
trimethoprim_sulfamethoxazole,ecoff,Base,chicken,sens,binary,1
trimethoprim_sulfamethoxazole,ecoff,Base,chicken,ppv,binary,1
trimethoprim_sulfamethoxazole,ecoff,Base,chicken,npv,binary,1
trimethoprim_sulfamethoxazole,ecoff,Base,chicken,accuracy,binary,1
trimethoprim_sulfamethoxazole,ecoff,Base,chicken,f_meas,binary,1
trimethoprim_sulfamethoxazole,ecoff,Base,dog,spec,binary,0.8
trimethoprim_sulfamethoxazole,ecoff,Base,dog,sens,binary,1
trimethoprim_sulfamethoxazole,ecoff,Base,dog,ppv,binary,0.9696969696969697
trimethoprim_sulfamethoxazole,ecoff,Base,dog,npv,binary,1
trimethoprim_sulfamethoxazole,ecoff,Base,dog,accuracy,binary,0.972972972972973
trimethoprim_sulfamethoxazole,ecoff,Base,dog,f_meas,binary,0.9846153846153847
trimethoprim_sulfamethoxazole,ecoff,Base,horse,spec,binary,0.9
trimethoprim_sulfamethoxazole,ecoff,Base,horse,sens,binary,1
trimethoprim_sulfamethoxazole,ecoff,Base,horse,ppv,binary,0.9411764705882353
trimethoprim_sulfamethoxazole,ecoff,Base,horse,npv,binary,1
trimethoprim_sulfamethoxazole,ecoff,Base,horse,accuracy,binary,0.9615384615384616
trimethoprim_sulfamethoxazole,ecoff,Base,horse,f_meas,binary,0.9696969696969697
trimethoprim_sulfamethoxazole,ecoff,Base,turkey,spec,binary,1
trimethoprim_sulfamethoxazole,ecoff,Base,turkey,sens,binary,1
trimethoprim_sulfamethoxazole,ecoff,Base,turkey,ppv,binary,1
trimethoprim_sulfamethoxazole,ecoff,Base,turkey,npv,binary,1
trimethoprim_sulfamethoxazole,ecoff,Base,turkey,accuracy,binary,1
trimethoprim_sulfamethoxazole,ecoff,Base,turkey,f_meas,binary,1
amoxicillin,ecoff,Base,chicken,spec,binary,0.8571428571428571
amoxicillin,ecoff,Base,chicken,sens,binary,1
amoxicillin,ecoff,Base,chicken,ppv,binary,0.9473684210526315
amoxicillin,ecoff,Base,chicken,npv,binary,1
amoxicillin,ecoff,Base,chicken,accuracy,binary,0.96
amoxicillin,ecoff,Base,chicken,f_meas,binary,0.972972972972973
ceftiofur,ecoff,Base,chicken,spec,binary,0
ceftiofur,ecoff,Base,chicken,sens,binary,1
ceftiofur,ecoff,Base,chicken,ppv,binary,0.9642857142857143
ceftiofur,ecoff,Base,chicken,npv,binary,NA
ceftiofur,ecoff,Base,chicken,accuracy,binary,0.9642857142857143
ceftiofur,ecoff,Base,chicken,f_meas,binary,0.9818181818181818
ceftiofur,ecoff,Base,horse,spec,binary,0.5714285714285714
ceftiofur,ecoff,Base,horse,sens,binary,0.9565217391304348
ceftiofur,ecoff,Base,horse,ppv,binary,0.88
ceftiofur,ecoff,Base,horse,npv,binary,0.8
ceftiofur,ecoff,Base,horse,accuracy,binary,0.8666666666666667
ceftiofur,ecoff,Base,horse,f_meas,binary,0.9166666666666666
ceftiofur,ecoff,Base,swine,spec,binary,0.8
ceftiofur,ecoff,Base,swine,sens,binary,0.9166666666666666
ceftiofur,ecoff,Base,swine,ppv,binary,0.9166666666666666
ceftiofur,ecoff,Base,swine,npv,binary,0.7999999999999998
ceftiofur,ecoff,Base,swine,accuracy,binary,0.8823529411764706
ceftiofur,ecoff,Base,swine,f_meas,binary,0.9166666666666666
ceftiofur,ecoff,Base,turkey,spec,binary,1
ceftiofur,ecoff,Base,turkey,sens,binary,1
ceftiofur,ecoff,Base,turkey,ppv,binary,1
ceftiofur,ecoff,Base,turkey,npv,binary,1
ceftiofur,ecoff,Base,turkey,accuracy,binary,1
ceftiofur,ecoff,Base,turkey,f_meas,binary,1
neomycin,ecoff,Base,cattle,spec,binary,0.75
neomycin,ecoff,Base,cattle,sens,binary,1
neomycin,ecoff,Base,cattle,ppv,binary,0.8518518518518519
neomycin,ecoff,Base,cattle,npv,binary,1
neomycin,ecoff,Base,cattle,accuracy,binary,0.8974358974358975
neomycin,ecoff,Base,cattle,f_meas,binary,0.92
neomycin,ecoff,Base,chicken,spec,binary,1
neomycin,ecoff,Base,chicken,sens,binary,1
neomycin,ecoff,Base,chicken,ppv,binary,1
neomycin,ecoff,Base,chicken,npv,binary,1
neomycin,ecoff,Base,chicken,accuracy,binary,1
neomycin,ecoff,Base,chicken,f_meas,binary,1
neomycin,ecoff,Base,swine,spec,binary,0.6
neomycin,ecoff,Base,swine,sens,binary,1
neomycin,ecoff,Base,swine,ppv,binary,0.8461538461538461
neomycin,ecoff,Base,swine,npv,binary,1
neomycin,ecoff,Base,swine,accuracy,binary,0.875
neomycin,ecoff,Base,swine,f_meas,binary,0.9166666666666666
spectinomycin,ecoff,Base,cattle,spec,binary,0.8888888888888888
spectinomycin,ecoff,Base,cattle,sens,binary,0.9310344827586207
spectinomycin,ecoff,Base,cattle,ppv,binary,0.9642857142857143
spectinomycin,ecoff,Base,cattle,npv,binary,0.7999999999999999
spectinomycin,ecoff,Base,cattle,accuracy,binary,0.9210526315789473
spectinomycin,ecoff,Base,cattle,f_meas,binary,0.9473684210526316
spectinomycin,ecoff,Base,chicken,spec,binary,1
spectinomycin,ecoff,Base,chicken,sens,binary,0.9411764705882353
spectinomycin,ecoff,Base,chicken,ppv,binary,1
spectinomycin,ecoff,Base,chicken,npv,binary,0.75
spectinomycin,ecoff,Base,chicken,accuracy,binary,0.95
spectinomycin,ecoff,Base,chicken,f_meas,binary,0.9696969696969697
spectinomycin,ecoff,Base,swine,spec,binary,1
spectinomycin,ecoff,Base,swine,sens,binary,0.9333333333333333
spectinomycin,ecoff,Base,swine,ppv,binary,1
spectinomycin,ecoff,Base,swine,npv,binary,0.8750000000000001
spectinomycin,ecoff,Base,swine,accuracy,binary,0.9545454545454546
spectinomycin,ecoff,Base,swine,f_meas,binary,0.9655172413793104
streptomycin,ecoff,Base,chicken,spec,binary,1
streptomycin,ecoff,Base,chicken,sens,binary,0.95
streptomycin,ecoff,Base,chicken,ppv,binary,1
streptomycin,ecoff,Base,chicken,npv,binary,0.8333333333333331
streptomycin,ecoff,Base,chicken,accuracy,binary,0.96
streptomycin,ecoff,Base,chicken,f_meas,binary,0.9743589743589743
ticarcillin_clavulanic_acid,ecoff,Base,horse,spec,binary,0.4
ticarcillin_clavulanic_acid,ecoff,Base,horse,sens,binary,0.88
ticarcillin_clavulanic_acid,ecoff,Base,horse,ppv,binary,0.88
ticarcillin_clavulanic_acid,ecoff,Base,horse,npv,binary,0.3999999999999999
ticarcillin_clavulanic_acid,ecoff,Base,horse,accuracy,binary,0.8
ticarcillin_clavulanic_acid,ecoff,Base,horse,f_meas,binary,0.88
amikacin,clsi,Binary,dog,spec,binary,0
amikacin,clsi,Binary,dog,sens,binary,0.972972972972973
amikacin,clsi,Binary,dog,ppv,binary,0.972972972972973
amikacin,clsi,Binary,dog,npv,binary,0
amikacin,clsi,Binary,dog,accuracy,binary,0.9473684210526315
amikacin,clsi,Binary,dog,f_meas,binary,0.972972972972973
amoxicillin_clavulanic_acid,clsi,Binary,dog,spec,binary,0.6428571428571429
amoxicillin_clavulanic_acid,clsi,Binary,dog,sens,binary,0.6363636363636364
amoxicillin_clavulanic_acid,clsi,Binary,dog,ppv,binary,0.4117647058823529
amoxicillin_clavulanic_acid,clsi,Binary,dog,npv,binary,0.8181818181818182
amoxicillin_clavulanic_acid,clsi,Binary,dog,accuracy,binary,0.6410256410256411
amoxicillin_clavulanic_acid,clsi,Binary,dog,f_meas,binary,0.5
ampicillin,clsi,Binary,cattle,spec,binary,1
ampicillin,clsi,Binary,cattle,sens,binary,NA
ampicillin,clsi,Binary,cattle,ppv,binary,NA
ampicillin,clsi,Binary,cattle,npv,binary,NA
ampicillin,clsi,Binary,cattle,accuracy,binary,1
ampicillin,clsi,Binary,cattle,f_meas,binary,NA
ampicillin,clsi,Binary,dog,spec,binary,0.3181818181818182
ampicillin,clsi,Binary,dog,sens,binary,0.9166666666666666
ampicillin,clsi,Binary,dog,ppv,binary,0.42307692307692313
ampicillin,clsi,Binary,dog,npv,binary,0.875
ampicillin,clsi,Binary,dog,accuracy,binary,0.5294117647058824
ampicillin,clsi,Binary,dog,f_meas,binary,0.5789473684210527
ampicillin,clsi,Binary,horse,spec,binary,1
ampicillin,clsi,Binary,horse,sens,binary,0
ampicillin,clsi,Binary,horse,ppv,binary,NA
ampicillin,clsi,Binary,horse,npv,binary,0.962962962962963
ampicillin,clsi,Binary,horse,accuracy,binary,0.9629629629629629
ampicillin,clsi,Binary,horse,f_meas,binary,NA
cefazolin,clsi,Binary,dog,spec,binary,0.7058823529411765
cefazolin,clsi,Binary,dog,sens,binary,0.8636363636363636
cefazolin,clsi,Binary,dog,ppv,binary,0.7916666666666666
cefazolin,clsi,Binary,dog,npv,binary,0.8
cefazolin,clsi,Binary,dog,accuracy,binary,0.7948717948717948
cefazolin,clsi,Binary,dog,f_meas,binary,0.8260869565217391
cefovecin,clsi,Binary,cat,spec,binary,0.6666666666666666
cefovecin,clsi,Binary,cat,sens,binary,1
cefovecin,clsi,Binary,cat,ppv,binary,0.9375
cefovecin,clsi,Binary,cat,npv,binary,1
cefovecin,clsi,Binary,cat,accuracy,binary,0.9444444444444444
cefovecin,clsi,Binary,cat,f_meas,binary,0.967741935483871
cefpodoxime,clsi,Binary,dog,spec,binary,0.6666666666666666
cefpodoxime,clsi,Binary,dog,sens,binary,0.9642857142857143
cefpodoxime,clsi,Binary,dog,ppv,binary,0.8709677419354839
cefpodoxime,clsi,Binary,dog,npv,binary,0.888888888888889
cefpodoxime,clsi,Binary,dog,accuracy,binary,0.875
cefpodoxime,clsi,Binary,dog,f_meas,binary,0.9152542372881356
ceftazidime,clsi,Binary,dog,spec,binary,0.7142857142857143
ceftazidime,clsi,Binary,dog,sens,binary,0.9473684210526315
ceftazidime,clsi,Binary,dog,ppv,binary,0.8999999999999999
ceftazidime,clsi,Binary,dog,npv,binary,0.8333333333333333
ceftazidime,clsi,Binary,dog,accuracy,binary,0.8846153846153846
ceftazidime,clsi,Binary,dog,f_meas,binary,0.9230769230769231
cephalexin,clsi,Binary,dog,spec,binary,0.7307692307692307
cephalexin,clsi,Binary,dog,sens,binary,0.7
cephalexin,clsi,Binary,dog,ppv,binary,0.49999999999999994
cephalexin,clsi,Binary,dog,npv,binary,0.8636363636363635
cephalexin,clsi,Binary,dog,accuracy,binary,0.7222222222222222
cephalexin,clsi,Binary,dog,f_meas,binary,0.5833333333333334
enrofloxacin,clsi,Binary,cat,spec,binary,0
enrofloxacin,clsi,Binary,cat,sens,binary,1
enrofloxacin,clsi,Binary,cat,ppv,binary,0.8947368421052632
enrofloxacin,clsi,Binary,cat,npv,binary,NA
enrofloxacin,clsi,Binary,cat,accuracy,binary,0.8947368421052632
enrofloxacin,clsi,Binary,cat,f_meas,binary,0.9444444444444444
enrofloxacin,clsi,Binary,chicken,spec,binary,NA
enrofloxacin,clsi,Binary,chicken,sens,binary,1
enrofloxacin,clsi,Binary,chicken,ppv,binary,NA
enrofloxacin,clsi,Binary,chicken,npv,binary,NA
enrofloxacin,clsi,Binary,chicken,accuracy,binary,1
